epoch,train_loss,val_loss,mean_pixel_acc,miou
0,0.3688,0.4879,0.5650,0.4357
1,0.2756,0.4742,0.5732,0.4418
2,0.2250,0.4744,0.5781,0.4455
3,0.1881,0.4812,0.5826,0.4477
4,0.1634,0.4993,0.5911,0.4504
5,0.1384,0.5186,0.5907,0.4515
6,0.1227,0.5348,0.5990,0.4514
7,0.1104,0.5618,0.5904,0.4514
8,0.1002,0.5790,0.5910,0.4537
9,0.0916,0.5802,0.5941,0.4537
10,0.0857,0.5827,0.6006,0.4503
11,0.0813,0.6051,0.6002,0.4532
12,0.0761,0.6227,0.6027,0.4507
13,0.0716,0.6481,0.6013,0.4538
14,0.0678,0.6535,0.6041,0.4545
15,0.0648,0.6651,0.6022,0.4523
16,0.0623,0.6791,0.5952,0.4518
17,0.0605,0.6884,0.6003,0.4523
18,0.0587,0.6810,0.6013,0.4515
19,0.0562,0.7018,0.5931,0.4529
20,0.0540,0.7042,0.6073,0.4519
21,0.0525,0.7531,0.5878,0.4527
22,0.0513,0.7206,0.5975,0.4520
23,0.0504,0.7431,0.6049,0.4528
24,0.0484,0.6943,0.6065,0.4496
25,0.0476,0.7454,0.6010,0.4522
26,0.0461,0.7585,0.5974,0.4511
27,0.0451,0.7392,0.6041,0.4512
28,0.0437,0.7487,0.6072,0.4474
29,0.0425,0.7689,0.6041,0.4487
30,0.0417,0.7866,0.5995,0.4518
31,0.0405,0.7860,0.5995,0.4492
32,0.0391,0.8008,0.5995,0.4491
33,0.0390,0.8008,0.5978,0.4529
34,0.0388,0.7934,0.5998,0.4501
35,0.0371,0.8505,0.5976,0.4492
36,0.0368,0.8259,0.5991,0.4498
37,0.0369,0.8285,0.5953,0.4471
38,0.0354,0.8249,0.5990,0.4507
39,0.0342,0.8586,0.5971,0.4493
40,0.0337,0.8793,0.5946,0.4497
41,0.0333,0.8339,0.5963,0.4461
42,0.0333,0.8715,0.5984,0.4491
43,0.0326,0.8701,0.5995,0.4481
44,0.0316,0.8977,0.5938,0.4504
45,0.0311,0.8900,0.5933,0.4494
46,0.0308,0.8834,0.5962,0.4473
47,0.0306,0.8655,0.6025,0.4497
48,0.0300,0.9032,0.5962,0.4487
49,0.0294,0.8986,0.5991,0.4468
50,0.0288,0.8865,0.5953,0.4475
51,0.0285,0.9365,0.5950,0.4486
52,0.0281,0.9360,0.5933,0.4467
53,0.0279,0.8921,0.5993,0.4496
54,0.0271,0.9131,0.5965,0.4475
55,0.0270,0.9204,0.5976,0.4484
56,0.0265,0.9236,0.5992,0.4468
57,0.0260,0.9450,0.5977,0.4468
58,0.0254,0.9544,0.5993,0.4471
59,0.0254,0.9442,0.5994,0.4476
60,0.0250,0.9513,0.5986,0.4473
61,0.0247,0.9870,0.5937,0.4471
62,0.0244,0.9577,0.5993,0.4462
63,0.0239,0.9386,0.6041,0.4435
64,0.0237,0.9975,0.6004,0.4461
65,0.0237,0.9987,0.5974,0.4469
66,0.0230,0.9971,0.5979,0.4451
67,0.0229,0.9995,0.5961,0.4452
68,0.0224,0.9890,0.5967,0.4433
69,0.0221,1.0092,0.5922,0.4451
70,0.0219,0.9854,0.6005,0.4451
71,0.0216,0.9764,0.5988,0.4451
72,0.0213,1.0154,0.5995,0.4418
73,0.0210,1.0492,0.5977,0.4433
74,0.0210,1.0308,0.5933,0.4458
75,0.0203,1.0001,0.5978,0.4430
76,0.0207,1.0429,0.5936,0.4425
77,0.0202,1.0538,0.6017,0.4435
78,0.0192,1.0824,0.5956,0.4427
79,0.0201,1.0700,0.5934,0.4433
