epoch,train_loss,val_loss,mean_pixel_acc,miou
0,2.0904,1.3849,0.0481,0.0339
1,1.9009,1.2873,0.0515,0.0371
2,1.8043,1.2275,0.0651,0.0450
3,1.7051,1.1250,0.0708,0.0518
4,1.5659,1.0454,0.0791,0.0580
5,1.4768,1.0190,0.1209,0.0810
6,1.3827,0.9521,0.1211,0.0953
7,1.3017,0.9439,0.1443,0.0979
8,1.2378,0.8630,0.1811,0.1316
9,1.1832,0.8354,0.2064,0.1547
10,1.1355,0.8161,0.2084,0.1528
11,1.0897,0.7948,0.2288,0.1724
12,1.0509,0.7890,0.2462,0.1828
13,1.0061,0.7762,0.2687,0.1935
14,0.9694,0.7748,0.2899,0.2048
15,0.9323,0.7341,0.3086,0.2333
16,0.8929,0.7533,0.3090,0.2357
17,0.8512,0.7283,0.3326,0.2405
18,0.8162,0.7646,0.3541,0.2508
19,0.7805,0.7380,0.3414,0.2595
20,0.7462,0.7403,0.3621,0.2685
21,0.7108,0.7576,0.3419,0.2556
22,0.6735,0.7535,0.3916,0.2805
23,0.6458,0.7719,0.3643,0.2662
24,0.6146,0.7592,0.3507,0.2663
25,0.5908,0.7518,0.3673,0.2862
26,0.5588,0.7782,0.3626,0.2807
27,0.5385,0.7820,0.3670,0.2849
28,0.5261,0.7563,0.3923,0.2906
29,0.5031,0.8167,0.3782,0.2765
30,0.4817,0.7720,0.4137,0.3083
31,0.4716,0.8404,0.3488,0.2759
32,0.4488,0.7665,0.4060,0.3100
33,0.4376,0.7891,0.4207,0.3084
34,0.4203,0.8100,0.4061,0.3019
35,0.4131,0.8371,0.4182,0.3018
36,0.4059,0.7567,0.3952,0.2997
37,0.3849,0.8044,0.4224,0.3133
38,0.3850,0.7883,0.4261,0.3095
39,0.3647,0.8706,0.3980,0.3048
40,0.3744,0.8124,0.3986,0.3092
41,0.5502,0.7914,0.3470,0.2725
42,0.3962,0.8047,0.4076,0.3214
43,0.3308,0.8339,0.4082,0.3125
44,0.3376,0.8210,0.4139,0.3202
45,0.3285,0.7996,0.4230,0.3230
46,0.3317,0.8027,0.3997,0.3151
47,0.3068,0.8123,0.4329,0.3257
48,0.3119,0.8597,0.4238,0.3202
49,0.3074,0.8264,0.4260,0.3214
50,0.3075,0.8919,0.3966,0.3094
51,0.2924,0.8623,0.4051,0.3144
52,0.2898,0.8239,0.4289,0.3245
53,0.2759,0.8218,0.4418,0.3225
54,0.2731,0.8018,0.4214,0.3256
55,0.2800,0.8366,0.4320,0.3222
56,0.2717,0.7959,0.4288,0.3215
57,0.2748,0.8534,0.4239,0.3194
58,0.3088,0.8337,0.4464,0.3292
59,0.2424,0.8519,0.4332,0.3260
60,0.2609,0.8238,0.4254,0.3217
61,0.2566,0.7999,0.4133,0.3174
62,0.2459,0.8692,0.3915,0.3063
63,0.2461,0.8069,0.4118,0.3170
64,0.2710,0.8092,0.4398,0.3345
65,0.2394,0.8214,0.4265,0.3201
66,0.2492,0.7762,0.4182,0.3251
67,0.2426,0.8449,0.4060,0.3210
68,0.2317,0.8812,0.4137,0.3118
69,0.2368,0.8427,0.4127,0.3178
70,0.2406,0.8128,0.4131,0.3192
71,0.2268,0.8109,0.4330,0.3255
72,0.2194,0.8527,0.4055,0.3020
73,0.2204,0.7845,0.4138,0.3254
74,0.2229,0.8697,0.4170,0.3254
75,0.2205,0.8262,0.4279,0.3277
76,0.2253,0.8182,0.3842,0.3117
77,0.2106,0.8070,0.3884,0.3078
78,0.2150,0.9379,0.4197,0.2921
79,0.2272,0.8254,0.4139,0.3233
80,0.2174,0.8538,0.3986,0.3158
81,0.1992,0.8397,0.4410,0.3243
82,0.2250,0.8141,0.4072,0.3242
83,0.2167,0.8212,0.4321,0.3338
84,0.1891,0.8102,0.4196,0.3249
85,0.1987,0.8807,0.4211,0.3132
86,0.1927,0.7983,0.4383,0.3283
87,0.2110,0.8260,0.4157,0.3140
88,0.2014,0.8344,0.4086,0.3160
89,0.2077,0.8134,0.4166,0.3219
90,0.2010,0.8415,0.3946,0.3063
91,0.1924,0.9782,0.4080,0.3068
92,0.1918,0.8641,0.4355,0.3245
93,0.1918,0.9059,0.3707,0.2586
94,0.2006,0.8280,0.4100,0.3214
95,0.1781,0.8090,0.4049,0.3158
96,0.1944,0.7702,0.4206,0.3296
97,0.1973,0.8454,0.4186,0.3291
98,0.1797,0.8838,0.3930,0.3069
99,0.1834,0.8350,0.4067,0.3205
100,0.1920,0.9961,0.4132,0.3216
101,0.1833,0.8559,0.4026,0.3125
102,0.1857,0.8729,0.4001,0.3090
103,0.1836,0.7642,0.3661,0.2927
104,0.2420,0.8117,0.3867,0.3042
105,0.2835,0.7585,0.4037,0.3186
106,0.1781,0.8253,0.4053,0.3210
107,0.1830,0.7957,0.4049,0.3271
108,0.1815,0.8067,0.3877,0.3100
109,0.1961,0.8334,0.4070,0.3241
110,0.2627,0.8050,0.3923,0.3136
111,0.2053,0.8036,0.3920,0.3179
112,0.1823,0.7673,0.3971,0.3199
113,0.2106,0.8004,0.4228,0.3339
114,0.1783,0.8148,0.4245,0.3293
115,0.1798,0.8035,0.3971,0.3176
116,0.1692,0.7979,0.3981,0.3203
117,0.1752,0.8785,0.3865,0.3113
118,0.1721,0.7612,0.4027,0.3188
119,0.1725,0.8181,0.4125,0.3206
120,0.1924,0.7926,0.4220,0.3056
121,0.1798,0.8217,0.3997,0.3187
122,0.1966,0.8271,0.4217,0.3248
123,0.1698,0.8086,0.4092,0.3227
124,0.1664,0.8085,0.4073,0.3280
125,0.1696,0.7919,0.4112,0.3250
126,0.1667,2.8036,0.3824,0.3116
127,0.1701,0.8036,0.4139,0.3248
128,0.1664,0.7980,0.4001,0.3198
129,0.1605,0.9268,0.3748,0.3075
130,0.1632,0.8079,0.3965,0.3157
131,0.1734,0.7994,0.3879,0.3166
132,0.1738,0.7798,0.3991,0.3175
133,0.1717,0.8222,0.3841,0.3067
134,0.1678,0.8036,0.4088,0.3273
135,0.1790,0.7964,0.3918,0.3169
136,0.1575,0.7527,0.4116,0.3261
137,1.4234,0.8270,0.3842,0.3170
138,0.1509,0.9173,0.3940,0.3159
139,0.1659,0.7898,0.3871,0.3151
140,0.1678,0.7839,0.3807,0.3010
141,0.1767,0.7800,0.4035,0.3229
142,0.1563,0.7954,0.3976,0.3226
143,0.1590,0.7797,0.3979,0.3212
144,0.1757,0.8018,0.3842,0.3118
145,0.1504,0.7777,0.3958,0.3143
146,0.1571,0.7700,0.4119,0.3228
147,0.1644,0.7725,0.4089,0.3230
148,0.1602,0.7687,0.4101,0.3295
149,0.1535,0.7781,0.3836,0.3141
150,0.1498,0.7915,0.4164,0.3229
151,0.1770,0.7956,0.4035,0.3193
152,0.1488,0.8762,0.3817,0.3117
153,0.1564,0.8016,0.4019,0.3239
154,0.1679,0.7785,0.3896,0.3129
155,0.1504,0.7871,0.3976,0.3189
156,0.1614,0.8155,0.3968,0.3142
157,0.1625,0.8470,0.3771,0.3125
158,0.2020,0.7857,0.3764,0.3076
159,0.1493,0.8511,0.3790,0.3063
160,0.1522,0.8154,0.3755,0.3054
161,0.1512,0.8089,0.3862,0.3119
162,0.1521,0.8437,0.3889,0.3185
163,0.1797,0.8032,0.3791,0.3103
164,0.1410,0.7941,0.3876,0.3111
165,0.1561,0.8419,0.3953,0.2997
166,0.1517,0.9499,0.4026,0.3160
167,0.3019,0.7857,0.3859,0.3101
168,0.1561,0.8301,0.3811,0.3086
169,0.3169,1.1148,0.3840,0.3121
170,0.1410,0.9781,0.3911,0.3232
171,0.1626,0.9134,0.3815,0.3127
172,0.1638,0.7546,0.4099,0.3221
173,0.1634,0.7729,0.4161,0.3288
174,0.3611,0.8529,0.3651,0.3021
175,0.1449,0.7676,0.3907,0.3187
176,0.1826,0.8518,0.3807,0.3114
177,0.1913,0.8184,0.3628,0.2996
178,0.1969,0.7921,0.3787,0.3107
179,0.7347,0.8055,0.3490,0.2833
180,1.1692,0.8023,0.3805,0.3033
181,0.1747,0.7689,0.3876,0.3141
182,0.1772,0.7768,0.3584,0.2967
183,0.1786,0.7658,0.3748,0.3069
184,0.1686,0.7829,0.3885,0.3196
185,0.1877,0.7823,0.3512,0.2845
186,0.1548,0.7867,0.3766,0.3133
187,0.2247,0.8146,0.3495,0.2861
188,0.1549,0.7868,0.3672,0.3054
189,0.1542,0.8630,0.3578,0.2970
190,0.1624,0.7877,0.3753,0.3051
191,0.1703,0.8223,0.3714,0.3079
192,0.1590,0.7850,0.3845,0.3130
193,0.1643,0.7698,0.3813,0.3139
194,0.1575,0.8156,0.3766,0.3088
195,0.1546,0.8031,0.4090,0.3178
196,15.8394,0.7797,0.3799,0.2976
197,0.1940,0.7799,0.3884,0.3159
198,0.1352,0.7623,0.3875,0.3082
199,0.1563,0.7898,0.4019,0.3199
