epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.9429,1.3109,0.0476,0.0332
1,1.7905,1.2039,0.0571,0.0419
2,1.6250,1.1670,0.0574,0.0421
3,1.5384,1.0716,0.0779,0.0564
4,1.4189,0.9778,0.1208,0.0872
5,1.3190,0.8933,0.1506,0.1154
6,1.2466,0.8595,0.1724,0.1304
7,1.1878,0.9091,0.2111,0.1297
8,1.1326,0.8384,0.2190,0.1511
9,1.0754,0.7876,0.2583,0.1884
10,1.0199,0.8118,0.2184,0.1801
11,0.9727,0.7648,0.2674,0.2113
12,0.9148,0.7545,0.3065,0.2317
13,0.8667,0.7701,0.3177,0.2348
14,0.8132,0.7480,0.3300,0.2493
15,0.7592,0.7514,0.3224,0.2562
16,0.7097,0.7597,0.3444,0.2647
17,0.6615,0.7619,0.3546,0.2731
18,0.6102,0.8147,0.3486,0.2719
19,0.5657,0.8065,0.3351,0.2626
20,0.5273,0.7837,0.3945,0.2920
21,0.4979,0.8180,0.3545,0.2660
22,0.4675,0.8483,0.3423,0.2774
23,0.4384,0.8159,0.3935,0.2961
24,0.4230,0.8601,0.3979,0.2850
25,0.3998,0.8866,0.4008,0.2959
26,0.3838,0.8577,0.4228,0.2959
27,0.3678,0.8478,0.3590,0.2849
28,0.3476,0.9003,0.3771,0.2916
29,0.3412,0.9021,0.3727,0.2891
30,0.3273,0.8906,0.3735,0.2830
31,0.3139,0.9051,0.3785,0.2932
32,0.2962,0.9562,0.4011,0.2910
33,0.2907,0.9170,0.4168,0.2670
34,0.2804,0.8975,0.3941,0.3069
35,0.2706,0.9217,0.3924,0.3016
36,0.2610,0.9409,0.4030,0.3071
37,0.2587,0.9104,0.4273,0.3119
38,0.2816,0.8952,0.4202,0.3040
39,0.2366,0.9756,0.3861,0.2903
40,0.2392,0.9206,0.4068,0.3078
41,0.2322,0.9171,0.4069,0.3036
42,0.2263,0.9595,0.3757,0.2803
43,0.2211,0.9546,0.3867,0.3047
44,0.2082,0.9942,0.3916,0.2964
45,0.2075,0.9777,0.3741,0.2853
46,0.2115,0.9438,0.4060,0.3128
47,0.1959,0.9582,0.4048,0.3127
48,0.1958,0.9460,0.4038,0.3083
49,0.1917,0.9972,0.3972,0.3013
50,0.1887,0.9150,0.4299,0.3201
51,0.1926,0.9146,0.4116,0.3140
52,0.1798,1.0707,0.3692,0.2953
53,0.1751,0.9522,0.4043,0.3057
54,0.1786,0.9842,0.3839,0.3030
55,0.1747,0.9300,0.4108,0.3190
56,0.1670,0.9308,0.4044,0.3125
57,0.1616,0.9056,0.4195,0.3156
58,0.1786,0.9309,0.4004,0.3072
59,0.1567,0.9057,0.4164,0.3205
60,0.1543,0.9074,0.4139,0.3206
61,0.1573,0.9103,0.4203,0.3041
62,0.1647,0.9230,0.4022,0.3129
63,0.1495,0.9095,0.4295,0.3149
64,0.1501,0.9279,0.4108,0.3091
65,0.1442,0.9443,0.4132,0.3166
66,0.1432,1.0409,0.4226,0.2774
67,0.1416,0.9063,0.3985,0.3098
68,0.1459,0.9080,0.4136,0.3190
69,0.1547,0.8958,0.4133,0.3238
70,0.1330,0.9276,0.4097,0.3164
71,0.1325,0.9120,0.4214,0.3265
72,0.1341,0.9132,0.4042,0.3137
73,0.1460,0.9389,0.4171,0.3176
74,0.1308,0.8834,0.4119,0.3171
75,0.1329,0.8624,0.4111,0.3064
76,0.1341,0.9098,0.3838,0.2957
77,0.1422,0.9117,0.4139,0.3157
78,0.1284,0.9047,0.4156,0.3163
79,0.1343,0.9062,0.4044,0.3114
80,0.1255,0.8844,0.4189,0.3204
81,0.1275,0.9093,0.4050,0.3186
82,0.1463,0.8926,0.4033,0.3154
83,0.1180,0.9062,0.3894,0.3061
84,0.1213,0.9440,0.4080,0.3185
85,0.1231,0.8926,0.4149,0.3238
86,0.1171,0.9634,0.3998,0.3109
87,0.1397,0.8767,0.4103,0.3108
88,0.1243,0.9407,0.3977,0.3079
89,0.1163,0.9107,0.4154,0.3190
90,0.1256,0.8824,0.4169,0.3228
91,0.1108,0.8843,0.4108,0.3175
92,0.1122,0.9159,0.4162,0.3164
93,0.1216,0.9136,0.3922,0.3092
94,0.1169,0.8880,0.4201,0.3184
95,0.1154,0.8859,0.4034,0.3176
96,0.1123,0.9278,0.4027,0.3104
97,0.1125,0.9064,0.4046,0.3174
98,0.1142,0.9270,0.4026,0.3160
99,0.1361,0.8323,0.4198,0.3195
100,0.1125,0.8719,0.4289,0.3221
101,0.1160,1.5320,0.3380,0.2355
102,0.1116,0.9260,0.4151,0.3167
103,0.1091,0.9273,0.4180,0.3180
104,0.1080,0.9305,0.4061,0.3170
105,0.1043,0.8461,0.4189,0.3187
106,0.1149,0.8905,0.3915,0.2999
107,0.1186,0.8548,0.4076,0.3201
108,0.1145,0.8490,0.4057,0.3127
109,0.1776,0.8743,0.3938,0.3063
110,0.1090,0.8940,0.3922,0.3142
111,0.1050,0.8373,0.4252,0.3135
112,0.1231,0.8739,0.4169,0.3216
113,27.1501,0.8770,0.3940,0.3046
114,0.1459,0.8827,0.3815,0.2960
115,0.1036,0.8784,0.4003,0.3127
116,0.1091,0.8786,0.4007,0.3101
117,0.1059,0.9306,0.4118,0.3075
118,0.1166,0.9264,0.3831,0.3086
119,0.1836,0.8590,0.4093,0.3159
120,0.1119,0.9050,0.3952,0.3117
121,0.1473,0.8652,0.4052,0.3158
122,0.0990,0.9307,0.3995,0.2943
123,0.1056,0.8546,0.4115,0.3198
124,0.1087,0.8677,0.4172,0.3070
125,0.1068,0.8725,0.4030,0.3136
126,0.1036,0.8527,0.4201,0.3177
127,0.1109,0.8487,0.3943,0.3123
128,0.1120,0.8819,0.4086,0.3155
129,0.1044,0.8537,0.3930,0.3065
130,0.1079,0.8643,0.3857,0.3080
131,0.1178,0.8904,0.3809,0.3052
132,0.0972,0.8814,0.3993,0.3174
133,0.0983,0.8827,0.3792,0.3036
134,0.0993,0.8908,0.3945,0.3069
135,0.1023,0.9011,0.3891,0.3084
136,0.0984,0.8812,0.3921,0.2985
137,0.1046,0.8626,0.3936,0.3100
138,0.0954,0.9036,0.3852,0.3062
139,0.0963,0.8796,0.3859,0.3026
140,0.1389,0.8477,0.4148,0.3241
141,0.1033,0.8718,0.4012,0.3154
142,0.0990,0.8472,0.3998,0.3083
143,0.0913,0.8344,0.3970,0.3116
144,0.1032,0.8906,0.3747,0.2967
145,0.1157,0.8700,0.4027,0.3134
146,0.0961,0.8681,0.3911,0.3127
147,0.0984,0.9324,0.3807,0.3008
148,0.1030,0.8974,0.4001,0.3149
149,0.1047,0.8621,0.3895,0.3119
150,0.0866,0.8737,0.3919,0.3108
151,0.1002,0.8425,0.3847,0.3074
152,0.0966,0.8747,0.3838,0.3070
153,0.0947,0.8441,0.3938,0.3069
154,0.1132,0.8428,0.4045,0.3166
155,0.0954,0.8958,0.3939,0.3128
156,0.0995,0.8808,0.3895,0.3063
157,0.0907,0.8850,0.3836,0.3100
158,0.0996,0.8726,0.3913,0.3132
159,0.0903,0.8671,0.3922,0.3137
160,0.0929,0.8549,0.3939,0.3104
161,0.1014,0.8234,0.3939,0.3166
162,0.0914,0.8578,0.4046,0.3091
163,0.1131,0.8616,0.3936,0.3104
164,0.1975,0.8422,0.3876,0.3081
165,0.0869,0.8400,0.3934,0.3091
166,0.0899,0.8632,0.3954,0.3123
167,0.1374,0.8401,0.3903,0.3106
168,0.0831,0.8937,0.3822,0.3085
169,0.0918,0.8466,0.3830,0.3050
170,0.1012,0.8739,0.3707,0.2974
171,0.0910,0.9026,0.3880,0.3112
172,0.0898,0.8410,0.3909,0.3099
173,0.1610,0.8336,0.3527,0.2880
174,0.1027,0.8798,0.3865,0.3057
175,0.0949,0.8013,0.4028,0.3151
176,0.0884,0.8585,0.3777,0.3067
177,0.1514,0.8679,0.3782,0.3033
178,0.0818,0.8552,0.3806,0.3030
179,0.0940,0.8572,0.3879,0.3089
180,0.1473,1.0989,0.3805,0.3085
181,0.0888,0.8589,0.3833,0.3062
182,0.1235,0.8510,0.3980,0.3131
183,0.0911,0.8626,0.3648,0.2951
184,0.0970,0.8454,0.4028,0.3156
185,0.1008,0.9701,0.3954,0.3098
186,0.0867,0.8705,0.3764,0.3014
187,0.0951,0.8033,0.3960,0.3122
188,0.0838,0.8404,0.3867,0.3088
189,0.0963,0.8634,0.3720,0.2984
190,0.0873,0.8772,0.3795,0.3015
191,1.2387,0.8504,0.3730,0.2996
192,0.0836,0.8351,0.3770,0.3027
193,0.0804,0.8838,0.3665,0.2962
194,0.0856,0.9201,0.3741,0.2980
195,0.0904,0.8427,0.4123,0.3153
196,0.0896,0.8409,0.3851,0.3067
197,0.1149,0.8421,0.3877,0.3097
198,0.0978,0.8269,0.3865,0.3067
199,0.0995,0.8631,0.3896,0.3079
