epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.6498,1.4104,0.0477,0.0333
1,1.4749,1.2505,0.0588,0.0423
2,1.3891,1.1513,0.0663,0.0483
3,1.2970,1.1113,0.0948,0.0622
4,1.2182,1.0806,0.0978,0.0678
5,1.1572,0.9934,0.1239,0.0889
6,1.0982,0.9597,0.1434,0.1043
7,1.0345,0.9581,0.1407,0.0941
8,0.9936,0.9030,0.1545,0.1092
9,0.9535,0.8426,0.1947,0.1410
10,0.9173,0.8760,0.1759,0.1365
11,0.8787,0.7844,0.2305,0.1666
12,0.8418,0.7873,0.2366,0.1787
13,0.8052,0.7617,0.2524,0.1830
14,0.7952,0.7973,0.2480,0.1857
15,0.7542,0.7567,0.2707,0.2100
16,0.7184,0.7776,0.2968,0.2107
17,0.6934,0.7457,0.2879,0.2276
18,0.6638,0.7473,0.2971,0.2217
19,0.6371,0.7435,0.3453,0.2564
20,0.6203,0.7149,0.3400,0.2694
21,0.5841,0.7460,0.3574,0.2628
22,0.5587,0.7362,0.3657,0.2734
23,0.5427,0.7525,0.3807,0.2716
24,0.5090,0.7524,0.3807,0.2759
25,0.4975,0.7276,0.3599,0.2871
26,0.4678,0.7759,0.3854,0.2796
27,0.4474,0.7463,0.3778,0.2979
28,0.4294,0.7935,0.3981,0.2887
29,0.4169,0.7826,0.4147,0.3059
30,0.3953,0.7469,0.3674,0.2976
31,0.3828,0.7837,0.4443,0.3145
32,0.3720,0.8038,0.3972,0.2978
33,0.3519,0.8164,0.3972,0.2871
34,0.3631,0.7510,0.4081,0.3126
35,0.3339,0.8310,0.3840,0.2978
36,0.3329,0.8040,0.3939,0.3005
37,0.3097,0.7639,0.4317,0.3267
38,0.3079,0.8070,0.4112,0.3181
39,0.2897,0.7804,0.4230,0.3171
40,0.2879,0.7824,0.4172,0.3215
41,0.2737,0.8054,0.4451,0.3278
42,0.2693,0.9347,0.4517,0.3145
43,0.2664,0.8174,0.4230,0.3249
44,0.2653,0.8555,0.3812,0.2798
45,0.2533,0.8661,0.4206,0.3126
46,0.2486,0.8388,0.4346,0.3302
47,0.2366,0.8018,0.4136,0.3228
48,0.2292,0.7954,0.4361,0.3401
49,0.2307,0.7880,0.4406,0.3082
50,0.2236,0.8253,0.4261,0.3324
51,0.2564,0.8124,0.4210,0.3237
52,0.2022,0.8768,0.4536,0.3229
53,0.2124,0.8320,0.4341,0.3291
54,0.1980,0.8380,0.4332,0.3310
55,0.1984,0.8182,0.4153,0.3312
56,1.3354,0.8003,0.4163,0.3144
57,0.1754,0.8415,0.4311,0.3324
58,0.1982,0.9025,0.4133,0.3193
59,0.1845,0.8559,0.4414,0.3350
60,0.1837,0.8741,0.4217,0.3292
61,0.1811,0.8545,0.4237,0.3145
62,0.1799,0.7921,0.4566,0.3443
63,0.1946,0.7889,0.4573,0.3469
64,0.1563,0.8267,0.4402,0.3397
65,0.1917,0.7589,0.4141,0.3217
66,0.1614,0.8792,0.4445,0.3477
67,0.1722,0.8569,0.4364,0.3409
68,0.1561,0.8131,0.4228,0.3388
69,0.1672,0.7678,0.4434,0.3496
70,0.1534,0.8218,0.4702,0.3422
71,0.1743,0.7673,0.4037,0.3120
72,0.1529,0.8775,0.4336,0.3392
73,0.1688,0.7787,0.4220,0.3313
74,0.1463,0.7684,0.4460,0.3394
75,0.1518,0.8548,0.4050,0.3191
76,0.1555,0.7956,0.4382,0.3463
77,0.1417,0.7934,0.4418,0.3428
78,0.1422,0.8334,0.4357,0.3408
79,0.1556,0.7420,0.4352,0.3284
80,0.1364,0.8366,0.4376,0.3359
81,0.1441,0.8137,0.4145,0.3065
82,0.1376,0.8144,0.4361,0.3396
83,0.1396,0.8166,0.4190,0.3347
84,0.1374,0.7793,0.4205,0.3242
85,0.1339,0.7647,0.4484,0.3392
86,0.1350,0.8145,0.4243,0.3414
87,0.1415,0.7854,0.4188,0.3321
88,0.1326,0.7840,0.4191,0.3364
89,0.1312,0.8444,0.4316,0.3330
90,0.1343,1.0098,0.3817,0.2738
91,0.1386,0.7648,0.4443,0.3436
92,0.1243,0.7760,0.4372,0.3417
93,0.1450,0.7862,0.4173,0.3329
94,0.1256,0.7714,0.4373,0.3489
95,0.1546,0.7585,0.4459,0.3448
96,0.1257,0.7760,0.4411,0.3388
97,0.1487,0.7572,0.4338,0.3439
98,0.1234,0.7780,0.4438,0.3331
99,0.1204,0.7839,0.4046,0.3229
100,0.1218,19.3330,0.4323,0.3257
101,0.1321,59.9935,0.4163,0.3346
102,0.1257,0.7657,0.3992,0.3244
103,0.1154,0.7987,0.4076,0.3291
104,0.1351,0.7633,0.4405,0.3442
105,0.1177,0.7649,0.4370,0.3416
106,0.1172,0.7671,0.4516,0.3504
107,0.1181,0.7790,0.4366,0.3420
108,0.1190,0.7890,0.4187,0.3288
109,0.1193,0.7430,0.4137,0.3317
110,0.1197,0.7647,0.4441,0.3127
111,0.1218,0.7661,0.4327,0.3452
112,0.1141,0.7547,0.4287,0.3426
113,0.1155,0.7472,0.4200,0.3359
114,0.1043,0.7502,0.4392,0.3409
115,0.1136,0.8041,0.4274,0.3335
116,0.1116,0.7601,0.4342,0.3392
117,0.1118,0.7388,0.4208,0.3363
118,0.1116,0.7541,0.4321,0.3338
119,0.1230,0.7904,0.4155,0.3354
120,0.1112,0.7918,0.4304,0.3294
121,0.1151,0.7557,0.4188,0.3364
122,0.1103,0.7602,0.4219,0.3379
123,0.1117,0.7730,0.4393,0.3382
124,0.1067,0.8047,0.4268,0.3358
125,0.1085,0.7398,0.4255,0.3305
126,0.1080,0.7715,0.4317,0.3434
127,0.1076,0.7756,0.4334,0.3355
128,0.1012,0.8209,0.4214,0.3338
129,0.1031,0.7691,0.4198,0.3247
130,0.1215,0.7517,0.4197,0.3362
131,0.1104,0.7567,0.4193,0.3288
132,0.1061,0.7486,0.4253,0.3364
133,0.1178,0.7373,0.4160,0.3369
134,0.0989,0.7651,0.4296,0.3449
135,0.0975,0.7616,0.4351,0.3447
136,0.1000,0.7909,0.4362,0.3448
137,0.1132,0.7557,0.4306,0.3471
138,0.0941,0.7794,0.4341,0.3458
139,0.1106,0.7635,0.4212,0.3376
140,0.1245,0.7416,0.4172,0.3254
141,0.1104,0.7639,0.4244,0.3320
142,0.0988,0.8396,0.4175,0.3412
143,0.0985,0.7592,0.4226,0.3327
144,0.1022,0.7975,0.4165,0.3291
145,0.0978,0.8421,0.4030,0.3192
146,0.1036,0.8191,0.4137,0.3224
147,0.0984,0.8283,0.4238,0.3319
148,0.1134,0.7576,0.4342,0.3385
149,0.0919,0.8016,0.4296,0.3394
150,0.1043,0.7624,0.4078,0.3283
151,0.0967,0.8171,0.4215,0.3262
152,0.0952,0.7724,0.4121,0.3323
153,0.0949,0.7923,0.4181,0.3358
154,0.0923,0.8323,0.4255,0.3404
155,0.0934,0.8138,0.3875,0.3223
156,0.0951,0.7634,0.4189,0.3364
157,0.0916,0.7734,0.4366,0.3470
158,0.0952,0.7764,0.4192,0.3366
159,0.0907,0.7764,0.4217,0.3375
160,0.0925,0.7884,0.4154,0.3398
161,0.0935,0.9319,0.3949,0.3224
162,0.0988,0.7883,0.4167,0.3393
163,0.0923,0.7445,0.4323,0.3448
164,0.0923,0.7426,0.4322,0.3401
165,0.0980,0.7752,0.4256,0.3331
166,0.0894,0.7840,0.4288,0.3423
167,0.0924,0.7453,0.4206,0.3403
168,0.0914,0.8138,0.3760,0.2933
169,0.7634,0.7906,0.4116,0.3161
170,0.0891,0.7590,0.4324,0.3431
171,0.0923,0.7442,0.4267,0.3391
172,0.0920,0.8270,0.4154,0.3217
173,0.0993,0.7465,0.4163,0.3349
174,0.0855,0.7774,0.4073,0.3299
175,0.0938,0.8028,0.4197,0.3401
176,0.0959,0.7852,0.4123,0.3344
177,0.1040,0.7422,0.4132,0.3342
178,0.0821,0.8124,0.4256,0.3441
179,0.0955,0.7652,0.4278,0.3350
180,0.0884,0.8252,0.3845,0.3111
181,0.0953,0.7934,0.4002,0.3265
182,0.0947,0.8445,0.4099,0.3258
183,0.0883,0.7987,0.4148,0.3353
184,0.1021,0.7772,0.4239,0.3315
185,0.0903,0.8287,0.4037,0.3304
186,0.0857,0.7700,0.4219,0.3378
187,0.0927,0.7828,0.4165,0.3355
188,0.0864,0.7937,0.4220,0.3372
189,0.4758,0.7999,0.3908,0.3261
190,0.0854,0.7564,0.4074,0.3262
191,0.0871,0.8014,0.3851,0.3129
192,0.0927,0.7526,0.4124,0.3354
193,0.0839,0.7988,0.4268,0.3427
194,0.0908,0.7653,0.4290,0.3409
195,0.0906,0.7800,0.4091,0.3270
196,0.0840,0.7669,0.4196,0.3379
197,0.0815,0.7964,0.4187,0.3357
198,0.1072,0.7763,0.4046,0.3242
199,0.0779,0.8665,0.3866,0.3044
