epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.6139,1.4130,0.0476,0.0332
1,1.4717,1.1798,0.0639,0.0454
2,1.3263,1.0688,0.0748,0.0509
3,1.2158,1.0382,0.1128,0.0740
4,1.1369,0.9474,0.1401,0.0907
5,1.0682,0.9683,0.1792,0.1069
6,1.0086,0.8481,0.1749,0.1291
7,0.9543,0.8442,0.1966,0.1422
8,0.9055,0.8376,0.2179,0.1603
9,0.8641,0.7817,0.2366,0.1747
10,0.8316,0.7607,0.2580,0.1994
11,0.7996,0.7813,0.2693,0.2051
12,0.7501,0.7618,0.3126,0.2338
13,0.7105,0.7133,0.3428,0.2498
14,0.6702,0.7339,0.3439,0.2398
15,0.6400,0.7523,0.3505,0.2510
16,0.6042,0.7209,0.3537,0.2606
17,0.5755,0.6987,0.3702,0.2795
18,0.5444,0.7430,0.3554,0.2624
19,0.5208,0.7156,0.3632,0.2860
20,0.5063,0.7876,0.3572,0.2640
21,0.4742,0.7409,0.3810,0.2889
22,0.4604,0.7412,0.3829,0.2886
23,0.4479,0.7048,0.4093,0.3143
24,0.4213,0.7510,0.4158,0.2984
25,0.4202,0.7551,0.3852,0.3056
26,0.3941,0.7427,0.4122,0.3113
27,0.3867,0.7511,0.4237,0.3126
28,0.3737,0.7290,0.4090,0.3013
29,0.3666,0.7905,0.4275,0.3136
30,0.3525,0.7884,0.3959,0.3045
31,0.3419,0.7815,0.4112,0.3214
32,0.3396,0.8954,0.3804,0.2814
33,0.3233,0.7995,0.4321,0.3255
34,0.3176,0.8448,0.3677,0.2964
35,0.3091,0.7755,0.4175,0.3163
36,0.3078,0.8478,0.4036,0.2934
37,0.3093,0.7788,0.4312,0.3281
38,0.2873,0.7810,0.3952,0.3154
39,0.2931,0.7916,0.4028,0.3205
40,0.2976,0.7116,0.4397,0.3270
41,0.2724,0.8295,0.4251,0.3141
42,0.2706,0.7571,0.4410,0.3254
43,0.2662,0.8623,0.4406,0.3302
44,0.2629,0.8102,0.4434,0.3341
45,0.2660,0.7700,0.3761,0.3054
46,0.2522,0.7948,0.4347,0.3299
47,0.2588,0.7920,0.4564,0.3469
48,0.2587,0.8854,0.3919,0.2994
49,0.2413,0.7938,0.4267,0.3388
50,0.2481,0.8045,0.4349,0.3269
51,0.2426,0.7683,0.4224,0.3287
52,0.2387,0.7959,0.4464,0.3370
53,0.2446,0.7763,0.4107,0.3223
54,0.2248,0.8049,0.4150,0.3348
55,0.2343,0.7819,0.4482,0.3470
56,0.2252,0.8027,0.4158,0.3348
57,0.2225,0.8226,0.4537,0.3467
58,0.2213,0.7752,0.4134,0.3317
59,0.2210,0.7912,0.4439,0.3336
60,0.2132,0.7828,0.4436,0.3455
61,0.2225,0.7658,0.4253,0.3367
62,0.2099,0.8186,0.4217,0.3374
63,0.2161,0.7923,0.4235,0.3371
64,0.2122,0.8256,0.4418,0.3365
65,0.2028,0.7915,0.4271,0.3258
66,0.2043,0.8284,0.3918,0.2901
67,0.2008,0.7898,0.3977,0.2992
68,0.1968,0.7366,0.4776,0.3599
69,0.1969,0.7975,0.4117,0.3243
70,0.1998,0.8054,0.4280,0.3408
71,0.2172,0.7516,0.4392,0.3508
72,0.1864,0.7704,0.4687,0.3494
73,0.1942,0.7911,0.4788,0.3454
74,0.1875,0.7719,0.4164,0.3269
75,0.1959,0.7934,0.4597,0.3376
76,0.1888,0.8101,0.4161,0.3254
77,0.1853,0.7625,0.4183,0.3353
78,0.1895,0.7999,0.4358,0.3448
79,0.1852,0.7329,0.4377,0.3509
80,0.1853,0.7430,0.3947,0.3124
81,0.1937,0.7162,0.4537,0.3574
82,0.1791,0.8006,0.4351,0.3495
83,0.2008,0.7881,0.4538,0.3479
84,0.1725,0.7929,0.4140,0.3374
85,0.1774,0.7414,0.4543,0.3509
86,0.1861,0.7538,0.4250,0.3407
87,0.1779,0.7614,0.4444,0.3549
88,0.1766,0.7305,0.4423,0.3479
89,0.1779,0.7298,0.4376,0.3536
90,0.1703,0.7910,0.4377,0.3225
91,0.1771,0.7193,0.4132,0.3298
92,0.1674,0.8603,0.4142,0.2994
93,0.1692,0.8942,0.3907,0.3169
94,0.1687,0.7325,0.4450,0.3544
95,0.1636,0.7495,0.4439,0.3440
96,0.1755,0.7447,0.3959,0.3075

