epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.6954,1.4376,0.0476,0.0332
1,1.5512,1.3228,0.0476,0.0332
2,1.4874,1.3152,0.0476,0.0332
3,1.4488,1.2757,0.0476,0.0332
4,1.4288,1.2907,0.0476,0.0332
5,1.4118,1.3160,0.0477,0.0333
6,1.3977,1.2569,0.0505,0.0357
7,1.3671,1.2186,0.0484,0.0341
8,1.3487,1.2917,0.0498,0.0353
9,1.3345,1.2126,0.0555,0.0381
10,1.3186,1.1878,0.0550,0.0383
11,1.3042,1.2081,0.0715,0.0462
12,1.1743,1.0265,0.1147,0.0686
13,1.1137,1.0051,0.0979,0.0687
14,1.0789,0.9793,0.1104,0.0740
15,1.0490,0.9574,0.1348,0.0882
16,1.0237,0.9451,0.1384,0.0943
17,1.0022,0.9329,0.1308,0.0905
18,0.9623,0.9772,0.1910,0.1246
19,0.8934,0.8486,0.1889,0.1379
20,0.8570,0.8730,0.1911,0.1197
21,0.8207,0.8409,0.2103,0.1629
22,0.7798,0.8395,0.2264,0.1658
23,0.7480,0.8323,0.2260,0.1805
24,0.7192,0.8140,0.2836,0.1969
25,0.6884,0.8132,0.3030,0.2181
26,0.6557,0.8138,0.2897,0.2042
27,0.6303,0.7898,0.3095,0.2258
28,0.5974,0.8116,0.3242,0.2268
29,0.5733,0.8612,0.2645,0.1987
30,0.5473,0.8184,0.3077,0.2273
31,0.5206,0.8174,0.3444,0.2544
32,0.4922,0.8407,0.3238,0.2513
33,0.4755,0.9107,0.3267,0.2345
34,0.4544,0.8119,0.3545,0.2632
35,0.4376,0.8405,0.3285,0.2507
36,0.4180,0.8277,0.3528,0.2637
37,0.4393,0.8535,0.3756,0.2723
38,0.3950,0.8811,0.3489,0.2694
39,0.3758,0.9153,0.3295,0.2566
40,0.3648,0.8892,0.3693,0.2720
41,0.3557,0.8840,0.3631,0.2697
42,0.3450,0.9144,0.3491,0.2651
43,0.3373,0.8784,0.3450,0.2648
44,0.3201,0.9173,0.3655,0.2778
45,0.3268,0.8828,0.3743,0.2626
46,0.3075,0.9240,0.3603,0.2674
47,0.2995,0.8807,0.3609,0.2707
48,0.2898,0.9047,0.3640,0.2639
49,0.2869,0.9063,0.3661,0.2709
50,0.2661,0.9458,0.3716,0.2827
51,0.2800,0.8916,0.3750,0.2723
52,0.2573,0.9458,0.3616,0.2765
53,0.2611,0.9458,0.3817,0.2905
54,0.2515,0.9154,0.3926,0.2880
55,0.2486,0.9440,0.3652,0.2740
56,0.2416,0.9487,0.4052,0.2945
57,0.2405,0.9733,0.3519,0.2666
58,0.2504,0.9811,0.3795,0.2879
59,0.2236,0.9499,0.4068,0.2810
60,0.2245,0.9402,0.3854,0.2919
61,0.2159,0.9508,0.4047,0.2929
62,0.2209,0.9065,0.3895,0.2874
63,0.2265,0.9002,0.3990,0.2925
64,0.2067,0.9517,0.3755,0.2836
65,0.2063,0.9302,0.3962,0.2906
66,0.1998,1.1582,0.3709,0.2891
67,0.2075,0.9318,0.3884,0.2914
68,0.2007,0.9177,0.3926,0.2875
69,0.1904,0.9704,0.3984,0.3035
70,0.1851,0.9110,0.4080,0.2979
71,0.1927,0.9467,0.4071,0.3008
72,0.1981,0.9065,0.3991,0.2955
73,0.1761,0.9896,0.3922,0.2953
74,0.1796,0.9497,0.3846,0.2915
75,0.1794,0.9438,0.3944,0.2880
76,0.1750,0.9229,0.3985,0.2929
77,0.1720,0.9526,0.3932,0.2955
78,0.1702,0.9530,0.3914,0.2987
79,0.1656,0.8986,0.3925,0.2959
80,0.1629,0.9617,0.4134,0.2932
81,0.1735,0.8505,0.3946,0.2838
82,0.1647,0.9581,0.4046,0.2923
83,0.1576,0.9194,0.3953,0.2946
84,0.1597,0.9568,0.4089,0.2937
85,0.1530,0.9307,0.3974,0.2935
86,0.1635,1.0611,0.3227,0.2507
87,0.1500,0.9167,0.4094,0.2931
88,0.1661,0.9235,0.4039,0.3029
89,0.1583,0.8767,0.4094,0.2975
90,0.1520,0.8938,0.4188,0.3031
91,0.1533,0.9072,0.3973,0.3018
92,0.2805,0.9033,0.4002,0.3042
93,0.1482,0.9207,0.3894,0.3010
94,0.1418,0.9750,0.4141,0.2870
95,0.1431,0.9426,0.3862,0.2925
96,0.1726,0.9160,0.4032,0.3030
97,0.1431,0.9779,0.4291,0.2906
98,0.1369,0.9612,0.3889,0.2983
99,0.1379,1.0407,0.3330,0.2311
100,0.1358,0.9450,0.3750,0.2881
101,0.1307,0.9538,0.3953,0.2957
102,0.1366,0.9046,0.3966,0.2935
103,0.1366,0.8764,0.3833,0.2958
104,0.1281,0.9319,0.3909,0.2946
105,0.1379,0.9101,0.3824,0.2870
106,0.1310,0.8729,0.3544,0.2589
107,0.1236,0.9122,0.3962,0.2991
108,0.1263,0.8985,0.4124,0.3030
109,0.1252,0.8998,0.3850,0.2957
110,0.1200,0.9325,0.4305,0.2993
111,0.1568,0.9103,0.3912,0.2872
112,0.1481,0.9133,0.3910,0.2940
113,0.1253,0.9561,0.3834,0.2954
114,0.1205,0.9676,0.3742,0.2801
115,0.1299,0.9030,0.4159,0.3058
116,0.1209,0.9054,0.4097,0.3057
117,0.1186,0.9392,0.3719,0.2883
118,0.1185,0.9494,0.4020,0.3008
119,0.1217,0.9284,0.3837,0.2889
120,0.1145,0.9188,0.4013,0.3054
121,0.1282,0.8827,0.3991,0.3016
122,0.1129,0.9381,0.3929,0.2998
123,0.1138,0.9081,0.4214,0.2992
124,0.1164,0.9254,0.3845,0.2961
125,0.1198,0.9419,0.3999,0.2911
126,0.1493,0.8834,0.4147,0.3023
127,0.1893,0.9008,0.4038,0.3010
128,0.1232,0.9123,0.3903,0.2983
129,0.1088,0.9227,0.3967,0.2988
130,0.1285,0.8992,0.3868,0.2889
131,0.1098,0.9331,0.3971,0.2965
132,0.1315,0.9006,0.4045,0.3026
133,0.1095,0.8899,0.4039,0.2969
134,0.1214,0.8661,0.4103,0.3013
135,0.1084,0.9157,0.3837,0.2742
136,0.1040,0.9217,0.3904,0.2977
137,0.1087,0.9655,0.3883,0.2932
138,0.1065,0.9404,0.3961,0.3003
139,0.1151,0.8639,0.4035,0.3040
140,0.1041,0.9073,0.4002,0.2998
141,0.1048,0.9195,0.3908,0.3007
142,0.1015,0.8983,0.4089,0.3044
143,0.1046,0.8780,0.4103,0.3027
144,0.1033,0.9555,0.3973,0.3021
145,0.1070,0.9395,0.4037,0.2990
146,0.1083,0.9015,0.3999,0.2984
147,0.0966,0.8888,0.3911,0.2919
148,0.1053,0.8890,0.4113,0.3015
149,0.1012,0.8894,0.4020,0.3023
150,0.1030,0.8973,0.4026,0.3044
151,0.0960,0.8987,0.4115,0.2888
152,0.1071,0.9017,0.3867,0.3025
153,0.0998,6.0348,0.3757,0.2462
154,0.1353,0.9354,0.4095,0.2939
155,0.1052,0.9049,0.4313,0.2995
156,0.0968,0.9313,0.4029,0.2971
157,0.1017,0.8976,0.4141,0.3087
158,0.1077,0.8951,0.3909,0.3014
159,0.0938,0.9117,0.3982,0.3000
160,0.1051,0.8978,0.4042,0.3034
161,0.1014,0.8678,0.4193,0.3021
162,0.0922,0.9725,0.3686,0.2886
163,0.0985,0.8995,0.3979,0.2955
164,0.0901,0.8974,0.3998,0.3004
165,0.0987,0.9128,0.3917,0.3036
166,0.1074,0.8547,0.4031,0.3060
167,0.0885,0.8751,0.3936,0.2956
168,0.0894,0.9446,0.3853,0.2949
169,0.3734,0.8470,0.3976,0.3009
170,0.1053,0.8713,0.4044,0.3059
171,0.2609,0.8727,0.3760,0.2880
172,0.0950,0.8685,0.4155,0.2953
173,0.0970,0.8782,0.3885,0.2987
174,0.1033,0.9109,0.3950,0.3015
175,0.3376,0.9878,0.3196,0.2261
176,0.1833,0.8874,0.3921,0.2947
177,0.0967,0.9227,0.3869,0.2933
178,0.0981,0.8759,0.4069,0.3020
179,0.0931,0.8692,0.4056,0.3083
180,0.1041,0.9151,0.3868,0.2981
181,0.0919,0.8704,0.4198,0.3037
182,0.0990,0.8712,0.4038,0.3030
183,0.1080,0.8963,0.3888,0.3008
184,0.1306,0.8765,0.3968,0.2980
185,0.0986,0.8668,0.3956,0.3014
186,0.0964,0.8797,0.3830,0.2963
187,0.1323,0.8742,0.3951,0.2918
188,0.0932,0.8931,0.3821,0.2904
189,0.1023,0.8865,0.4051,0.3028
190,0.0957,0.9265,0.3809,0.2920
191,0.0912,0.8915,0.3939,0.3037
192,0.0932,0.8674,0.4068,0.3026
193,0.0978,0.9078,0.3946,0.2976
194,0.0943,0.8865,0.3809,0.2980
195,0.0909,0.8568,0.3992,0.3018
196,0.0939,0.9588,0.3806,0.2923
197,0.0974,0.9053,0.4017,0.3031
198,0.0902,0.8525,0.3956,0.3013
199,0.1024,0.8988,0.4013,0.2924
